National Teams,id
Australia,628
Iran,469
Japan,627
South Korea,451
Algeria,624
Cameroon,656
Ghana,4469
Ivory Coast,4789
Nigeria,657
Costa Rica,214
Honduras,215
Mexico,203
United States,660
Argentina ,202
Brazil,205
Chile,207
Colombia,208
Ecuador,209
Uruguay,212
Belgium,459
Bosnia and Herzegovina,452
Croatia,477
England,448
France,478
Germany,481
Greece,455
Italy,162
Netherlands,449
Portugal,482
Russia,454
Spain,164
Switzerland,475
